               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.032619,            0.015562,           0.0020457,             0.90605,             0.94098,             0.96152,             0.57817,            0.036219,            0.006472,           0.0018132,           0.0080002,           0.0080002,           0.0080002
                 103,            0.033169,            0.016901,            0.002109,             0.95449,             0.90598,             0.95603,             0.52059,            0.040188,           0.0066316,           0.0024976,           0.0079804,           0.0079804,           0.0079804
                 104,            0.035662,              0.0128,           0.0020383,             0.95327,              0.8892,              0.9482,             0.65612,            0.034785,           0.0066027,           0.0024234,           0.0079606,           0.0079606,           0.0079606
                 105,            0.032028,            0.013406,           0.0015752,             0.93284,             0.86539,             0.94448,              0.5643,            0.042162,           0.0070291,           0.0023656,           0.0079408,           0.0079408,           0.0079408
                 106,            0.035096,            0.013681,           0.0019604,             0.94196,             0.90195,             0.94443,             0.65411,            0.036773,           0.0066844,           0.0023634,            0.007921,            0.007921,            0.007921
                 107,            0.029555,            0.013111,           0.0019093,             0.97355,             0.91182,             0.95783,             0.61391,            0.031968,            0.006641,            0.002416,           0.0079012,           0.0079012,           0.0079012
                 108,            0.031353,            0.014712,           0.0019041,             0.96984,             0.90598,             0.95419,             0.62131,             0.03245,           0.0066666,           0.0023802,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032994,              0.0127,           0.0024719,             0.93451,             0.91532,             0.94715,             0.59699,            0.030507,           0.0065799,           0.0020955,           0.0078616,           0.0078616,           0.0078616
                 110,            0.033095,            0.014827,           0.0024854,             0.93903,             0.92524,             0.95216,             0.61851,            0.031954,           0.0065903,           0.0019753,           0.0078418,           0.0078418,           0.0078418
                 111,            0.034741,            0.013289,           0.0020736,             0.95745,             0.93322,             0.95695,             0.65364,            0.028028,           0.0064489,           0.0019128,            0.007822,            0.007822,            0.007822
                 112,            0.032275,            0.014798,           0.0032315,             0.95513,             0.95078,              0.9599,             0.63877,              0.0301,           0.0066942,           0.0020234,           0.0078022,           0.0078022,           0.0078022
                 113,            0.033377,            0.013642,           0.0015188,             0.94664,             0.95878,             0.96396,             0.57347,            0.034762,           0.0067028,           0.0020362,           0.0077824,           0.0077824,           0.0077824
                 114,            0.032472,            0.012765,           0.0018129,             0.95014,             0.89715,             0.94712,             0.59369,            0.030251,           0.0067942,           0.0019318,           0.0077626,           0.0077626,           0.0077626
                 115,            0.034466,            0.014892,           0.0019343,              0.9388,             0.94181,             0.96138,             0.63302,            0.027924,           0.0068136,           0.0018215,           0.0077428,           0.0077428,           0.0077428
                 116,            0.033757,            0.013664,           0.0019592,             0.94146,             0.93577,              0.9617,             0.62178,             0.03157,           0.0069528,           0.0018442,            0.007723,            0.007723,            0.007723
                 117,            0.031258,             0.01429,           0.0014343,             0.92714,             0.91844,             0.94283,             0.69898,            0.026816,           0.0067882,           0.0020764,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029555,            0.012885,            0.001778,             0.91614,             0.91408,              0.9423,             0.63993,            0.032323,           0.0064743,           0.0020288,           0.0076834,           0.0076834,           0.0076834
                 119,            0.032351,            0.014844,            0.001799,             0.95168,              0.9067,             0.94451,             0.65475,            0.034612,           0.0063678,           0.0017968,           0.0076636,           0.0076636,           0.0076636
                 120,            0.031815,            0.014622,           0.0015114,             0.95735,              0.9067,             0.93906,             0.57066,            0.034177,           0.0064113,           0.0018072,           0.0076438,           0.0076438,           0.0076438
                 121,            0.031709,            0.016305,           0.0015842,             0.95081,             0.88746,              0.9387,             0.63198,            0.032452,           0.0065079,           0.0017712,            0.007624,            0.007624,            0.007624
                 122,            0.032764,            0.014765,           0.0016983,             0.91526,             0.90332,             0.93002,             0.63347,            0.031352,           0.0066592,           0.0019536,           0.0076042,           0.0076042,           0.0076042
                 123,            0.029979,            0.013936,           0.0014567,             0.95298,             0.90402,             0.93217,             0.64975,            0.041483,           0.0064913,           0.0022445,           0.0075844,           0.0075844,           0.0075844
                 124,             0.03409,            0.014394,           0.0018268,             0.95373,              0.9067,             0.93584,             0.61668,            0.046606,           0.0066093,           0.0023644,           0.0075646,           0.0075646,           0.0075646
                 125,            0.036554,            0.013515,           0.0021857,             0.95168,             0.88687,             0.92677,             0.61995,            0.048421,           0.0068772,           0.0032278,           0.0075448,           0.0075448,           0.0075448
                 126,            0.031284,            0.014184,           0.0018235,             0.95316,             0.87716,             0.92051,             0.59766,            0.047517,           0.0073128,           0.0037271,            0.007525,            0.007525,            0.007525
                 127,            0.031184,            0.014785,           0.0021695,             0.97909,             0.88527,             0.92791,              0.6094,            0.042437,            0.007315,           0.0048281,           0.0075052,           0.0075052,           0.0075052
                 128,            0.030223,            0.012962,           0.0024655,             0.97905,             0.88163,             0.93541,             0.58358,             0.04184,           0.0071562,           0.0034674,           0.0074854,           0.0074854,           0.0074854
                 129,            0.033195,            0.016283,           0.0020272,             0.95969,             0.87711,             0.94588,             0.57594,            0.038911,           0.0071334,           0.0027167,           0.0074656,           0.0074656,           0.0074656
                 130,            0.030752,            0.014511,           0.0021492,             0.96844,              0.9245,             0.95905,             0.64745,            0.030828,           0.0068057,           0.0022601,           0.0074458,           0.0074458,           0.0074458
                 131,            0.029012,            0.015685,           0.0020095,              0.9438,             0.88746,             0.94742,              0.6334,            0.032935,           0.0063293,            0.001662,            0.007426,            0.007426,            0.007426
                 132,             0.02959,            0.013657,           0.0016486,             0.95505,             0.94373,             0.96288,             0.62363,            0.035158,           0.0061629,           0.0015087,           0.0074062,           0.0074062,           0.0074062
                 133,            0.032887,            0.014672,           0.0020483,             0.94814,             0.94373,             0.96244,             0.62494,            0.038854,           0.0060048,           0.0013504,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029717,            0.012088,           0.0014475,             0.98071,             0.93885,             0.96691,             0.62504,            0.034265,           0.0058846,           0.0012529,           0.0073666,           0.0073666,           0.0073666
                 135,            0.029431,            0.013064,           0.0013816,             0.97264,             0.93995,             0.97172,              0.6546,            0.029412,           0.0057959,           0.0011848,           0.0073468,           0.0073468,           0.0073468
                 136,            0.033814,            0.013704,           0.0026055,             0.94944,             0.92039,             0.95874,             0.62482,            0.031334,           0.0056512,           0.0011499,            0.007327,            0.007327,            0.007327
                 137,            0.032664,            0.014856,           0.0020769,             0.96913,             0.93887,             0.97208,             0.66903,            0.033486,           0.0056974,            0.001134,           0.0073072,           0.0073072,           0.0073072
                 138,            0.031415,            0.014454,           0.0017042,             0.95826,              0.9245,             0.97021,             0.66149,            0.032596,           0.0060122,           0.0011571,           0.0072874,           0.0072874,           0.0072874
